benchmark,timestamp,total_ops,traffic,core_count
LN_C64_1024x1024x1024,25319,2148532224,6293504,64
LN_C64_512x512x512,9668,268697600,1573888,64
LN_C64_256x256x256,4568,33619968,393728,64
LN_C16_128x128x128,2825,4210688,98560,16
LN_C64_512x1024x1024,22318,1074266112,4196352,64
LN_C64_256x1024x1024,21586,537133056,3147776,64
LN_C32_128x1024x1024,20503,268566528,2623488,32
